Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR12873152_1	(1.0, 1.3861065582063579)	(2.0, 0.5220664117040005)	(3.0, 0.44314939598130276)	(4.0, 0.291385904206884)	(5.0, 0.2731742851939537)	(6.0, 0.194257269471256)	(7.0, 0.24079807361541108)	(8.0, 0.097128634735628)	(9.0, 0.218539428155163)	('>10', 3.97822699771343)	('>50', 1.7422448855703272)	('>100', 10.993747344138892)	('>500', 11.574495639329003)	('>1k', 52.22485278941298)	('>5k', 15.819826382565411)	('>10k+', 0.0)
SRR12873152_2	(1.0, 4.455776118496935)	(2.0, 1.0238976911714117)	(3.0, 0.6374066654525588)	(4.0, 0.582771808413768)	(5.0, 0.4957607397964346)	(6.0, 0.558489649729861)	(7.0, 0.6232420728869463)	(8.0, 0.7446528663064813)	(9.0, 0.7102531415042798)	('>10', 11.406544041765313)	('>50', 11.481414031040693)	('>100', 41.941358586778364)	('>500', 25.338432586656957)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873153_1	(1.0, 1.2730431175296222)	(2.0, 0.43039746947029994)	(3.0, 0.37335684098628436)	(4.0, 0.23853353729679275)	(5.0, 0.14260157121003916)	(6.0, 0.0777826752054759)	(7.0, 0.1814929088127771)	(8.0, 0.2074204672146024)	(9.0, 0.09333921024657109)	('>10', 2.78721252819622)	('>50', 2.310145453602634)	('>100', 14.612771915268738)	('>500', 12.764137001218595)	('>1k', 42.69231766444554)	('>5k', 21.815447639295808)	('>10k+', 0.0)
SRR12873153_2	(1.0, 4.519173429438149)	(2.0, 1.3949026420182011)	(3.0, 0.9411703699862584)	(4.0, 1.0578443827944723)	(5.0, 0.6611527392465452)	(6.0, 0.5289221913972362)	(7.0, 0.6533744717259976)	(8.0, 0.3526147942648241)	(9.0, 0.37335684098628436)	('>10', 16.998107288236668)	('>50', 12.0511291451684)	('>100', 45.606575228810705)	('>500', 14.861676475926261)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873154_1	(1.0, 1.5663707679603633)	(2.0, 0.7896366639141206)	(3.0, 0.32514450867052025)	(4.0, 0.3819157720891825)	(5.0, 0.3096614368290669)	(6.0, 0.18579686209744012)	(7.0, 0.2167630057803468)	(8.0, 0.18579686209744012)	(9.0, 0.09289843104872006)	('>10', 3.524979355904211)	('>50', 2.1289223781998348)	('>100', 14.280553261767134)	('>500', 14.641824938067712)	('>1k', 45.36798100743187)	('>5k', 16.00175474814203)	('>10k+', 0.0)
SRR12873154_2	(1.0, 4.704273327828242)	(2.0, 1.6308835672997524)	(3.0, 1.0760734929810074)	(4.0, 1.0218827415359206)	(5.0, 0.7483484723369117)	(6.0, 0.7896366639141206)	(7.0, 0.7225433526011561)	(8.0, 0.5986787778695294)	(9.0, 0.7896366639141206)	('>10', 21.056977704376546)	('>50', 8.505367464905037)	('>100', 33.87438067712634)	('>500', 24.481317093311315)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873155_1	(1.0, 1.1598098509171457)	(2.0, 0.5525274397073098)	(3.0, 0.3285298290151572)	(4.0, 0.2488862341023918)	(5.0, 0.211553298987033)	(6.0, 0.13439856641529158)	(7.0, 0.17422036387167425)	(8.0, 0.1791980885537221)	(9.0, 0.11199880534607631)	('>10', 2.780059234923716)	('>50', 2.1055775405062347)	('>100', 7.795116852086911)	('>500', 10.293934642474925)	('>1k', 42.69145573558327)	('>5k', 0.0)	('>10k+', 31.232733517509146)
SRR12873155_2	(1.0, 4.039423579481819)	(2.0, 1.1747430249632893)	(3.0, 0.9183902038378258)	(4.0, 0.8063913984917493)	(5.0, 0.5973269618457403)	(6.0, 0.5823937877995968)	(7.0, 0.8188357101968691)	(8.0, 0.3982179745638269)	(9.0, 0.4031956992458747)	('>10', 11.132681251399985)	('>50', 5.505363498344906)	('>100', 38.95567336170637)	('>500', 34.667363548122154)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873156_1	(1.0, 1.5373660873223938)	(2.0, 0.5955270738259377)	(3.0, 0.4272259442664336)	(4.0, 0.3366022591190083)	(5.0, 0.16182800919183093)	(6.0, 0.31070977764831537)	(7.0, 0.15859144900799432)	(8.0, 0.2071398517655436)	(9.0, 0.17477424992717738)	('>10', 4.369356248179434)	('>50', 0.9159465320257629)	('>100', 17.500080914004595)	('>500', 14.933488688222157)	('>1k', 36.24300093860246)	('>5k', 22.128361976890957)	('>10k+', 0.0)
SRR12873156_2	(1.0, 4.589442340680325)	(2.0, 1.152215425445836)	(3.0, 0.9224196523934364)	(4.0, 0.7508819626500955)	(5.0, 1.1166132634236334)	(6.0, 0.6408389163996504)	(7.0, 0.9515486940479658)	(8.0, 0.7767744441207884)	(9.0, 0.7573550830177687)	('>10', 18.328640321066768)	('>50', 10.670938926109331)	('>100', 22.66563096740784)	('>500', 36.67670000323656)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873157_1	(1.0, 1.6273102283431318)	(2.0, 0.6431285932374053)	(3.0, 0.4677298859908403)	(4.0, 0.3118199239938935)	(5.0, 0.42225614707506415)	(6.0, 0.13642121674732843)	(7.0, 0.3410530418683211)	(8.0, 0.2598499366615779)	(9.0, 0.23386494299542016)	('>10', 4.11537337187774)	('>50', 2.8551011790690874)	('>100', 15.357131256699255)	('>500', 9.218176503069477)	('>1k', 64.01078377237145)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873157_2	(1.0, 5.018351901776724)	(2.0, 1.4291746516386787)	(3.0, 1.0816253613538183)	(4.0, 0.8964822814824439)	(5.0, 0.8120310520674311)	(6.0, 0.7210835742358788)	(7.0, 0.7957904310260824)	(8.0, 0.8315197973170494)	(9.0, 0.5261961217396953)	('>10', 25.380842563419627)	('>50', 2.978529898983337)	('>100', 59.52837236495924)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873158_1	(1.0, 1.8084762212876093)	(2.0, 0.7764477515367195)	(3.0, 0.4658686509220317)	(4.0, 0.38822387576835976)	(5.0, 0.29116790682626986)	(6.0, 0.2523455192494339)	(7.0, 0.27175671303785187)	(8.0, 0.1552895503073439)	(9.0, 0.29116790682626986)	('>10', 3.917825946295697)	('>50', 1.3555483662245227)	('>100', 17.246845681009383)	('>500', 20.95438369459722)	('>1k', 51.82465221611129)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873158_2	(1.0, 4.969265609835005)	(2.0, 1.1517308314461339)	(3.0, 0.8540925266903915)	(4.0, 0.7893885473956648)	(5.0, 0.7440957618893562)	(6.0, 1.1646716273050794)	(7.0, 1.0417340666450987)	(8.0, 0.8023293432546102)	(9.0, 0.9317373018440634)	('>10', 20.87350372047881)	('>50', 11.044969265609835)	('>100', 46.92332578453575)	('>500', 8.709155613070203)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873159_1	(1.0, 1.2629131549050174)	(2.0, 0.5601204787444847)	(3.0, 0.4676477581970461)	(4.0, 0.27477608391238867)	(5.0, 0.2377869956934133)	(6.0, 0.20608206293429152)	(7.0, 0.12946180876641392)	(8.0, 0.14795635287590161)	(9.0, 0.09511479827736533)	('>10', 2.597162408518059)	('>50', 3.3210917065180054)	('>100', 7.5431319189410555)	('>500', 5.9076858041163565)	('>1k', 35.8160057068879)	('>5k', 14.91981294089672)	('>10k+', 26.513250019815583)
SRR12873159_2	(1.0, 4.132209569605537)	(2.0, 1.4055853523210653)	(3.0, 1.038336547861238)	(4.0, 0.739781764379508)	(5.0, 0.48878438003646063)	(6.0, 0.5865412560437528)	(7.0, 0.4253745145182172)	(8.0, 0.5072789241459483)	(9.0, 0.5944674892335333)	('>10', 16.386166081006103)	('>50', 9.614520859203678)	('>100', 15.503712119210547)	('>500', 19.155063541969405)	('>1k', 29.422177600465005)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873160_1	(1.0, 1.2418582751314446)	(2.0, 0.5336263046378403)	(3.0, 0.33547830181275995)	(4.0, 0.21972847838028722)	(5.0, 0.3138978262575532)	(6.0, 0.16479635878521542)	(7.0, 0.23346150827905518)	(8.0, 0.1412540218158989)	(9.0, 0.1589107745428863)	('>10', 3.2763085615632113)	('>50', 2.5484579769285096)	('>100', 9.540532056815506)	('>500', 15.81456485913835)	('>1k', 36.14729655497136)	('>5k', 29.329828140940123)	('>10k+', 0.0)
SRR12873160_2	(1.0, 4.3474848936671115)	(2.0, 1.3929216040178922)	(3.0, 1.012320489680609)	(4.0, 0.8867613591775877)	(5.0, 0.5787491171623637)	(6.0, 0.7886682884721022)	(7.0, 0.8102487640273092)	(8.0, 0.7690496743310052)	(9.0, 0.529702581809621)	('>10', 13.990033744016323)	('>50', 12.345993878992388)	('>100', 39.03123283371263)	('>500', 23.51683277093306)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873161_1	(1.0, 1.1964573268921095)	(2.0, 0.5185185185185185)	(3.0, 0.30917874396135264)	(4.0, 0.24476650563607086)	(5.0, 0.20933977455716585)	(6.0, 0.15458937198067632)	(7.0, 0.14653784219001612)	(8.0, 0.14170692431561996)	(9.0, 0.17391304347826086)	('>10', 3.380032206119163)	('>50', 2.3639291465378425)	('>100', 9.753623188405797)	('>500', 11.09500805152979)	('>1k', 46.08212560386473)	('>5k', 24.23027375201288)	('>10k+', 0.0)
SRR12873161_2	(1.0, 4.407407407407407)	(2.0, 1.2141706924315618)	(3.0, 0.8840579710144927)	(4.0, 0.6892109500805152)	(5.0, 0.5877616747181964)	(6.0, 0.5024154589371981)	(7.0, 0.5410628019323672)	(8.0, 0.5925925925925926)	(9.0, 0.5797101449275363)	('>10', 16.32850241545894)	('>50', 9.77938808373591)	('>100', 42.60225442834138)	('>500', 13.801932367149758)	('>1k', 7.489533011272141)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873162_1	(1.0, 1.4159650623564901)	(2.0, 0.5762910269686191)	(3.0, 0.3579307550312908)	(4.0, 0.24312277700238621)	(5.0, 0.2363693665300977)	(6.0, 0.2161091351132322)	(7.0, 0.20485345099275132)	(8.0, 0.2161091351132322)	(9.0, 0.20260231416865518)	('>10', 3.041285849353924)	('>50', 1.8639412903516277)	('>100', 14.015577866822746)	('>500', 10.062581603709873)	('>1k', 47.730854081311065)	('>5k', 19.616406285174012)	('>10k+', 0.0)
SRR12873162_2	(1.0, 4.727387330601954)	(2.0, 1.3371752735131242)	(3.0, 1.0265183917878529)	(4.0, 0.7113592364143893)	(5.0, 0.7203637837107739)	(6.0, 0.7158615100625816)	(7.0, 0.7248660573589663)	(8.0, 0.7383728783035433)	(9.0, 0.6280671739228311)	('>10', 17.581378596191076)	('>50', 9.162126874071406)	('>100', 50.90720814011076)	('>500', 8.75467110891)	('>1k', 2.2646436450407457)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873163_1	(1.0, 1.3695727549408638)	(2.0, 0.493123242285318)	(3.0, 0.3871787957005817)	(4.0, 0.21574141849982664)	(5.0, 0.17336363986593212)	(6.0, 0.18492121585699425)	(7.0, 0.24270909581230493)	(8.0, 0.23115151982124282)	(9.0, 0.20803636783911852)	('>10', 4.1780637207689635)	('>50', 1.72785761066379)	('>100', 14.533651808760641)	('>500', 9.82971838039835)	('>1k', 38.1708209731479)	('>5k', 28.05408945563817)	('>10k+', 0.0)
SRR12873163_2	(1.0, 4.19347382209038)	(2.0, 1.221250529722233)	(3.0, 0.7859151673922257)	(4.0, 0.6164040528566476)	(5.0, 0.6452979928343029)	(6.0, 0.6241091035173557)	(7.0, 0.7820626420618716)	(8.0, 0.6009939515352314)	(9.0, 0.6241091035173557)	('>10', 17.424972069191355)	('>50', 7.961243595176638)	('>100', 37.874176522710634)	('>500', 26.64599144739377)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873164_1	(1.0, 1.0550973406035316)	(2.0, 0.4724316450463574)	(3.0, 0.33070215153245014)	(4.0, 0.25983740477549655)	(5.0, 0.14763488907698666)	(6.0, 0.22440503139701976)	(7.0, 0.1377925631385209)	(8.0, 0.12598177201236196)	(9.0, 0.088580933446192)	('>10', 2.645617212259601)	('>50', 2.293261943662526)	('>100', 8.269522253498947)	('>500', 6.116021338162635)	('>1k', 37.42839707879766)	('>5k', 14.013503671187575)	('>10k+', 26.391212771402138)
