Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR12873169_2	(1.0, 4.15929855585028)	(2.0, 1.304155614500442)	(3.0, 1.0002210433244916)	(4.0, 0.803124078986148)	(5.0, 0.6631299734748011)	(6.0, 0.8178603006189213)	(7.0, 0.5157677571470675)	(8.0, 0.5599764220453876)	(9.0, 0.7791777188328912)	('>10', 13.923887415266725)	('>50', 14.080459770114942)	('>100', 35.36877394636016)	('>500', 13.820733863837312)	('>1k', 12.203433539640436)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873170_1	(1.0, 1.269183072391877)	(2.0, 0.4456673383971477)	(3.0, 0.3371570299178422)	(4.0, 0.3022787164780654)	(5.0, 0.3197178731979538)	(6.0, 0.3022787164780654)	(7.0, 0.2034568283986979)	(8.0, 0.10851030847930554)	(9.0, 0.12207409703921873)	('>10', 3.7649201674159047)	('>50', 1.7264765152689505)	('>100', 14.58301038598667)	('>500', 7.671291272670904)	('>1k', 41.70864982173306)	('>5k', 27.135327856146336)	('>10k+', 0.0)
SRR12873170_2	(1.0, 4.789955045729345)	(2.0, 1.2904975972717407)	(3.0, 0.8719578359944195)	(4.0, 0.6743140598356844)	(5.0, 0.8235157339947294)	(6.0, 0.8138273135947915)	(7.0, 0.6510618508758332)	(8.0, 0.6820647961556348)	(9.0, 0.8022012091148658)	('>10', 18.22973182452333)	('>50', 8.593628894745)	('>100', 30.388699426445516)	('>500', 27.088823438226633)	('>1k', 4.299720973492482)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873171_1	(1.0, 1.1694866264979877)	(2.0, 0.5558396513773707)	(3.0, 0.30015341174378013)	(4.0, 0.3646308113035551)	(5.0, 0.22233586055094828)	(6.0, 0.18676212286279653)	(7.0, 0.12450808190853102)	(8.0, 0.23122929497298622)	(9.0, 0.08004090979834137)	('>10', 2.4301309558218644)	('>50', 2.543522244702848)	('>100', 11.623718789603576)	('>500', 12.813215643551148)	('>1k', 21.844498299130667)	('>5k', 18.378282233141384)	('>10k+', 27.131645063032217)
SRR12873171_2	(1.0, 4.535651555239344)	(2.0, 1.4807568312693153)	(3.0, 0.9271405384974541)	(4.0, 0.898236876625831)	(5.0, 0.8671098561486982)	(6.0, 0.6269871267536741)	(7.0, 0.43577828667985863)	(8.0, 0.46245858994597244)	(9.0, 0.38019432154212157)	('>10', 15.957044711741558)	('>50', 8.34204148787158)	('>100', 35.48480334393134)	('>500', 29.60179647375325)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873172_1	(1.0, 1.4012295557359935)	(2.0, 0.6681359471059042)	(3.0, 0.4315044658392298)	(4.0, 0.2783899779607934)	(5.0, 0.2203920658856281)	(6.0, 0.2644704790627537)	(7.0, 0.21111239995360168)	(8.0, 0.22271198236863474)	(9.0, 0.10439624173529753)	('>10', 3.7141862892935853)	('>50', 2.1482426632641225)	('>100', 12.759540656536364)	('>500', 13.08432896415729)	('>1k', 33.73158566291614)	('>5k', 30.759772648184665)	('>10k+', 0.0)
SRR12873172_2	(1.0, 4.65607238139427)	(2.0, 1.2666743997216101)	(3.0, 0.9465259250666975)	(4.0, 0.6774156130379306)	(5.0, 0.788771604222248)	(6.0, 0.7655724393921819)	(7.0, 0.6658160306228976)	(8.0, 0.5938986196496926)	(9.0, 0.7516529404941422)	('>10', 12.235239531376871)	('>50', 16.837953833661988)	('>100', 52.21204036654681)	('>500', 7.602366314812667)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873173_1	(1.0, 1.1582050693008652)	(2.0, 0.49391224442912934)	(3.0, 0.36181943487250173)	(4.0, 0.19143885442989508)	(5.0, 0.18186691170840033)	(6.0, 0.16080863772111187)	(7.0, 0.17420935753120453)	(8.0, 0.13783597518952445)	(9.0, 0.15506547208821503)	('>10', 2.3087525844245347)	('>50', 1.3458151466421624)	('>100', 13.603644995788343)	('>500', 2.9787885749291676)	('>1k', 41.33739183704725)	('>5k', 15.943027796921664)	('>10k+', 19.467417106976033)
SRR12873173_2	(1.0, 3.9244965158128498)	(2.0, 1.095030247339)	(3.0, 0.7638410291752814)	(4.0, 0.5666590091124895)	(5.0, 0.42116547974576923)	(6.0, 0.42499425683436715)	(7.0, 0.34841871506240907)	(8.0, 0.41350792556857335)	(9.0, 0.430737422467264)	('>10', 10.56359598744161)	('>50', 11.373382341680067)	('>100', 39.480434949077264)	('>500', 26.05674247645302)	('>1k', 4.136993644230033)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873174_1	(1.0, 1.312466103664678)	(2.0, 0.5082513364840784)	(3.0, 0.28821569690865423)	(4.0, 0.2851166033935074)	(5.0, 0.2014410784845433)	(6.0, 0.2510265747268924)	(7.0, 0.21693654606027737)	(8.0, 0.16115286278763463)	(9.0, 0.11156736654528551)	('>10', 2.628031300844503)	('>50', 2.132176338421012)	('>100', 11.94700550089099)	('>500', 12.249167118617803)	('>1k', 48.3040210738359)	('>5k', 19.40342449833424)	('>10k+', 0.0)
SRR12873174_2	(1.0, 3.7684977144185323)	(2.0, 1.0722863562407996)	(3.0, 0.6136205159990703)	(4.0, 0.42147671805996745)	(5.0, 0.4648640272720229)	(6.0, 0.37189122181761836)	(7.0, 0.498954055938638)	(8.0, 0.35949484775703106)	(9.0, 0.30681025799953515)	('>10', 11.733168048345858)	('>50', 10.78329588595336)	('>100', 40.388936236150926)	('>500', 29.216704114046642)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873175_1	(1.0, 1.2273800157356411)	(2.0, 0.44059795436664045)	(3.0, 0.2884867558353003)	(4.0, 0.29373196957776027)	(5.0, 0.2098085496984002)	(6.0, 0.1888276947285602)	(7.0, 0.14686598478888013)	(8.0, 0.15385960311216015)	(9.0, 0.14162077104642015)	('>10', 2.813182970539383)	('>50', 2.7240143369175627)	('>100', 11.658361744907772)	('>500', 5.5319520937144855)	('>1k', 35.34749541043797)	('>5k', 19.655564297578458)	('>10k+', 19.1782498470146)
SRR12873175_2	(1.0, 4.185680566483084)	(2.0, 1.014074656875601)	(3.0, 0.6608969315499607)	(4.0, 0.6574001223883207)	(5.0, 0.7255879010403007)	(6.0, 0.5769735116706006)	(7.0, 0.5262697788268206)	(8.0, 0.46157880933648043)	(9.0, 0.42486231313926043)	('>10', 15.915726899204477)	('>50', 7.470932773843868)	('>100', 33.707491913628814)	('>500', 16.997989334732058)	('>1k', 16.674534487280358)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873176_1	(1.0, 1.1473691818444638)	(2.0, 0.5492917028042786)	(3.0, 0.3523417172593235)	(4.0, 0.24573576178086154)	(5.0, 0.225860075166233)	(6.0, 0.23850823937554208)	(7.0, 0.08853714946516333)	(8.0, 0.28910089621277824)	(9.0, 0.11383347788378143)	('>10', 2.79343740965597)	('>50', 1.6912402428447528)	('>100', 13.367302688638336)	('>500', 6.094608268285632)	('>1k', 42.911607400982945)	('>5k', 9.625252963284186)	('>10k+', 20.265972824515757)
SRR12873176_2	(1.0, 3.9426134721017636)	(2.0, 1.1347210176351545)	(3.0, 0.7263660017346054)	(4.0, 0.6577045388840705)	(5.0, 0.5691673894189072)	(6.0, 0.5745880312228968)	(7.0, 0.5944637178375253)	(8.0, 0.44810638912980627)	(9.0, 0.4715958369470945)	('>10', 15.071191095692397)	('>50', 9.894478172882335)	('>100', 27.834995663486556)	('>500', 36.24241110147442)	('>1k', 1.837597571552472)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873177_1	(1.0, 1.3068087231563175)	(2.0, 0.5119027800898951)	(3.0, 0.35583485933078074)	(4.0, 0.249708673214583)	(5.0, 0.32254036956883636)	(6.0, 0.16231063758947895)	(7.0, 0.08739803562510405)	(8.0, 0.2830031629765274)	(9.0, 0.13109705343765607)	('>10', 4.118112202430497)	('>50', 1.8145496920259696)	('>100', 15.355002497086732)	('>500', 5.48526718828034)	('>1k', 46.9452305643416)	('>5k', 0.0)	('>10k+', 22.87123356084568)
SRR12873177_2	(1.0, 4.188862993174629)	(2.0, 1.1777925753287832)	(3.0, 0.7803396037955718)	(4.0, 0.6575661727984019)	(5.0, 0.6346762110870651)	(6.0, 0.5993008157149992)	(7.0, 0.6554852671882804)	(8.0, 0.5327118361911104)	(9.0, 0.7303978691526553)	('>10', 18.513817213251208)	('>50', 8.192525387048445)	('>100', 35.42741801231896)	('>500', 27.909106042949894)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873178_1	(1.0, 1.334129489038642)	(2.0, 0.5118143819841338)	(3.0, 0.33779749210952825)	(4.0, 0.26614347863174953)	(5.0, 0.18766527339418237)	(6.0, 0.20472575279365351)	(7.0, 0.1910773692740766)	(8.0, 0.1501322187153459)	(9.0, 0.13818988313571612)	('>10', 3.5417555233302056)	('>50', 2.381642924166169)	('>100', 10.72933549432739)	('>500', 15.554039068497824)	('>1k', 52.85848332338139)	('>5k', 11.613068327219995)	('>10k+', 0.0)
SRR12873178_2	(1.0, 4.089396912053229)	(2.0, 1.0406892433677386)	(3.0, 0.5066962381642924)	(4.0, 0.40945150558730703)	(5.0, 0.3241491085899514)	(6.0, 0.47086923142540305)	(7.0, 0.4657510876055617)	(8.0, 0.40945150558730703)	(9.0, 0.3992152179476243)	('>10', 16.765333105860275)	('>50', 7.380363388211208)	('>100', 58.27006738889363)	('>500', 9.468566066706474)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873179_1	(1.0, 1.3293071191781272)	(2.0, 0.5743919650769685)	(3.0, 0.3938687760527785)	(4.0, 0.328223980043982)	(5.0, 0.2625791840351856)	(6.0, 0.15754751042111137)	(7.0, 0.13785407161847246)	(8.0, 0.1444185512193521)	(9.0, 0.11816063281583353)	('>10', 3.525125545672367)	('>50', 2.445268651327666)	('>100', 8.891587619391473)	('>500', 13.161781599763678)	('>1k', 50.23796238553189)	('>5k', 18.291922407851118)	('>10k+', 0.0)
SRR12873179_2	(1.0, 4.345685495782322)	(2.0, 1.1028325729477797)	(3.0, 0.787737552105557)	(4.0, 0.5973676436800472)	(5.0, 0.5169527685692716)	(6.0, 0.45294909246069515)	(7.0, 0.43653789345849614)	(8.0, 0.3938687760527785)	(9.0, 0.38402205665145894)	('>10', 13.409590704696885)	('>50', 8.76522138707454)	('>100', 48.5328388092034)	('>500', 20.274395247316768)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873180_1	(1.0, 1.5563958468255792)	(2.0, 0.5891323876574676)	(3.0, 0.4637850711346021)	(4.0, 0.34261599849583224)	(5.0, 0.2506946330457309)	(6.0, 0.3760419495685963)	(7.0, 0.14623853594334302)	(8.0, 0.18384273090020264)	(9.0, 0.11281258487057891)	('>10', 3.7729542273382495)	('>50', 2.7576409635030394)	('>100', 11.882925606367643)	('>500', 14.343911254099902)	('>1k', 48.67863037165479)	('>5k', 14.542377838594438)	('>10k+', 0.0)
SRR12873180_2	(1.0, 4.690078759897215)	(2.0, 1.0905216537489293)	(3.0, 0.8335596548770552)	(4.0, 0.5849541437733721)	(5.0, 0.6998558505859986)	(6.0, 0.4763198027868887)	(7.0, 0.7019449725280464)	(8.0, 0.5515281927006079)	(9.0, 0.5640629243528945)	('>10', 13.623164184093426)	('>50', 12.653811602983268)	('>100', 38.66964714730399)	('>500', 24.860551110368313)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873181_1	(1.0, 1.0959004526545348)	(2.0, 0.5571132735902652)	(3.0, 0.30238055967892685)	(4.0, 0.24190444774314146)	(5.0, 0.13744570894496674)	(6.0, 0.2309087910275441)	(7.0, 0.19242399252295345)	(8.0, 0.20525225869115032)	(9.0, 0.14844136566056407)	('>10', 2.739751131636337)	('>50', 1.3542983854710722)	('>100', 9.760477944545238)	('>500', 6.390309161214653)	('>1k', 39.77312294976817)	('>5k', 13.048179302508842)	('>10k+', 23.822090274341633)
SRR12873181_2	(1.0, 4.25531914893617)	(2.0, 1.0262612934557518)	(3.0, 0.6267524327890484)	(4.0, 0.4984697711070794)	(5.0, 0.586435024831858)	(6.0, 0.40683929847710154)	(7.0, 0.4618175820550882)	(8.0, 0.6744002785566368)	(9.0, 0.6267524327890484)	('>10', 13.997470998955414)	('>50', 7.409240016860006)	('>100', 26.576502281598767)	('>500', 38.924624773214575)	('>1k', 3.929114666373449)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873182_1	(1.0, 1.1323881421469344)	(2.0, 0.46338918553980235)	(3.0, 0.21174737617381698)	(4.0, 0.2700546246854477)	(5.0, 0.17645614681151414)	(6.0, 0.1012704842570429)	(7.0, 0.17185294298164858)	(8.0, 0.12275210212974896)	(9.0, 0.09666728042717732)	('>10', 2.135886577057632)	('>50', 2.048425704290186)	('>100', 8.600319155465536)	('>500', 11.888541091266188)	('>1k', 43.197999140735284)	('>5k', 12.591296875959001)	('>10k+', 16.790953170073035)
SRR12873182_2	(1.0, 4.213465905603633)	(2.0, 1.2060394034247837)	(3.0, 0.7733382434174185)	(4.0, 0.5646596697968452)	(5.0, 0.4756643957527773)	(6.0, 0.44190756766709627)	(7.0, 0.5370404468176517)	(8.0, 0.4296323574541214)	(9.0, 0.5523844595838704)	('>10', 11.742772969987112)	('>50', 10.914196280611305)	('>100', 46.95728226845885)	('>500', 21.191616031424537)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873183_1	(1.0, 1.163278767164358)	(2.0, 0.5836381443505027)	(3.0, 0.3058103975535168)	(4.0, 0.32779676600507685)	(5.0, 0.11992564609941837)	(6.0, 0.20387359836901123)	(7.0, 0.20986988067398213)	(8.0, 0.2078711199056585)	(9.0, 0.17988846914912754)	('>10', 3.0501089324618738)	('>50', 2.2865823189622434)	('>100', 11.173072694929145)	('>500', 6.220143511023165)	('>1k', 49.525294317523134)	('>5k', 0.0)	('>10k+', 24.442845435829785)
SRR12873183_2	(1.0, 4.551178269472927)	(2.0, 1.4071275808998422)	(3.0, 0.9114349103555794)	(4.0, 0.6635885750834483)	(5.0, 0.5796406228138554)	(6.0, 0.5276728428374408)	(7.0, 0.6156183166436808)	(8.0, 0.4956926705442626)	(9.0, 0.6116207951070336)	('>10', 18.59447142771482)	('>50', 8.904479222881813)	('>100', 36.037656652875214)	('>500', 17.07541324378885)	('>1k', 9.02440486898123)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873184_1	(1.0, 1.2306437082490522)	(2.0, 0.588125308085873)	(3.0, 0.3620540191395693)	(4.0, 0.20397409528989818)	(5.0, 0.22097193656405636)	(6.0, 0.17337798099641347)	(7.0, 0.14278186670292872)	(8.0, 0.10878618415461237)	(9.0, 0.18357668576090838)	('>10', 2.9661233023406024)	('>50', 1.96325066716527)	('>100', 9.365810542061158)	('>500', 14.80002039740953)	('>1k', 43.18811510938111)	('>5k', 24.50238819669902)	('>10k+', 0.0)
SRR12873184_2	(1.0, 4.055684928014142)	(2.0, 1.0538661589978073)	(3.0, 0.7547041525726232)	(4.0, 0.5915248763407047)	(5.0, 0.4929373969505873)	(6.0, 0.48953782869575563)	(7.0, 0.4402440890006969)	(8.0, 0.46234128265710256)	(9.0, 0.5966242287229522)	('>10', 15.167173768931347)	('>50', 9.619078377046115)	('>100', 43.57056653804967)	('>500', 22.705716374020497)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873185_1	(1.0, 0.8955958336750595)	(2.0, 0.43631591896990074)	(3.0, 0.28540966128106293)	(4.0, 0.22307881571393423)	(5.0, 0.26244566554580495)	(6.0, 0.1476256868695153)	(7.0, 0.11481997867628967)	(8.0, 0.13122283277290248)	(9.0, 0.1033379808086607)	('>10', 2.719593209218404)	('>50', 1.7321413926023128)	('>100', 7.609284015418682)	('>500', 5.678668088247355)	('>1k', 14.851144099073238)	('>5k', 33.40113179693267)	('>10k+', 31.408185024194207)
SRR12873185_2	(1.0, 3.1263839908144018)	(2.0, 1.0924300828344133)	(3.0, 0.718445009431641)	(4.0, 0.5380136143689003)	(5.0, 0.37726564422209463)	(6.0, 0.3739850734027721)	(7.0, 0.2755679488230952)	(8.0, 0.36742393176412697)	(9.0, 0.48716476666940045)	('>10', 10.633970310834085)	('>50', 4.912654801935537)	('>100', 7.853686541458214)	('>500', 22.289838431887148)	('>1k', 46.95316985155417)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873186_1	(1.0, 1.0636847129414972)	(2.0, 0.5182053729714987)	(3.0, 0.2741033683349243)	(4.0, 0.25637528978589935)	(5.0, 0.19091776898949953)	(6.0, 0.18819037228964955)	(7.0, 0.10500477294422474)	(8.0, 0.21819173598799946)	(9.0, 0.14727942179189962)	('>10', 2.9646802127369427)	('>50', 1.3936997136233464)	('>100', 9.039956361652802)	('>500', 3.6397108959498157)	('>1k', 42.47920360016364)	('>5k', 0.0)	('>10k+', 37.52079639983636)
SRR12873186_2	(1.0, 3.8347197599890905)	(2.0, 1.0936860766398473)	(3.0, 0.7282149188599482)	(4.0, 0.5782081003681986)	(5.0, 0.388654029728624)	(6.0, 0.3681985544797491)	(7.0, 0.2672848765852993)	(8.0, 0.45820264557479884)	(9.0, 0.3191054138824492)	('>10', 9.788626755761626)	('>50', 7.752625119323605)	('>100', 34.97886267557616)	('>500', 31.990999590890496)	('>1k', 7.452611482340106)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873187_1	(1.0, 1.1267915802609605)	(2.0, 0.47714301444275203)	(3.0, 0.30830779394762436)	(4.0, 0.2789451469049935)	(5.0, 0.15598906241397661)	(6.0, 0.2312308454607183)	(7.0, 0.20553852929841623)	(8.0, 0.14681323521315445)	(9.0, 0.11561542273035914)	('>10', 3.217045016608247)	('>50', 2.277440311244059)	('>100', 11.946927015470445)	('>500', 6.7405626617239545)	('>1k', 30.210493475986862)	('>5k', 22.069699583417446)	('>10k+', 20.491457304876036)
SRR12873187_2	(1.0, 3.5730671120001465)	(2.0, 1.19285753610688)	(3.0, 0.6661650547796885)	(4.0, 0.6312969114165642)	(5.0, 0.47714301444275203)	(6.0, 0.5285276467673561)	(7.0, 0.4624616909214366)	(8.0, 0.396395735075517)	(9.0, 0.5615606246903158)	('>10', 16.134774549925677)	('>50', 8.408728046833422)	('>100', 25.578535905011833)	('>500', 9.715365840230497)	('>1k', 31.67312033179791)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873188_1	(1.0, 0.9779421564707451)	(2.0, 0.4764760762361722)	(3.0, 0.2698920431827269)	(4.0, 0.19992003198720512)	(5.0, 0.2582300413168066)	(6.0, 0.14994002399040385)	(7.0, 0.09329601492736239)	(8.0, 0.11995201919232307)	(9.0, 0.0899640143942423)	('>10', 2.577302412368386)	('>50', 1.252832200453152)	('>100', 8.336665333866454)	('>500', 5.809342929494869)	('>1k', 32.065507130481144)	('>5k', 22.829201652672264)	('>10k+', 24.493535918965748)
SRR12873188_2	(1.0, 3.8984406237505)	(2.0, 1.16953218712515)	(3.0, 0.9196321471411436)	(4.0, 0.6530721044915367)	(5.0, 0.7163801146208184)	(6.0, 0.6397441023590564)	(7.0, 0.583100093296015)	(8.0, 0.7463681194188991)	(9.0, 0.5997600959616154)	('>10', 11.980207916833267)	('>50', 11.835265893642543)	('>100', 30.44448887111822)	('>500', 3.4103025456484075)	('>1k', 32.40370518459283)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873189_1	(1.0, 1.6154137394303985)	(2.0, 0.6772958647090993)	(3.0, 0.4669555340540995)	(4.0, 0.3028900761431997)	(5.0, 0.29447646291699975)	(6.0, 0.22716755710739978)	(7.0, 0.22085734718774977)	(8.0, 0.1009633587143999)	(9.0, 0.18930629758949982)	('>10', 3.3759623070127467)	('>50', 3.6409911236380466)	('>100', 14.786925245046485)	('>500', 12.534180303731437)	('>1k', 61.566614782718446)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873189_2	(1.0, 5.115476841529595)	(2.0, 1.3587985360312986)	(3.0, 0.9086702284295991)	(4.0, 0.7572251903579993)	(5.0, 0.5784359093012494)	(6.0, 0.7824660300365991)	(7.0, 0.8834293887509991)	(8.0, 0.6057801522863994)	(9.0, 0.6625720415632493)	('>10', 17.847377056076734)	('>50', 11.995709057254638)	('>100', 58.50405956838164)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873190_1	(1.0, 1.4858841010401187)	(2.0, 0.656450289414739)	(3.0, 0.49233771706105434)	(4.0, 0.24838659599476615)	(5.0, 0.26612849570867797)	(6.0, 0.2794349204941119)	(7.0, 0.26391075824443905)	(8.0, 0.17741899713911866)	(9.0, 0.17963673460335763)	('>10', 3.863298662704309)	('>50', 3.0161229513650176)	('>100', 13.115699363509348)	('>500', 13.35077953471868)	('>1k', 46.05353618238673)	('>5k', 16.550974695615533)	('>10k+', 0.0)
SRR12873190_2	(1.0, 4.608458450688607)	(2.0, 1.2108846554744848)	(3.0, 0.7385065755915815)	(4.0, 0.6653212392716951)	(5.0, 0.49899092945377127)	(6.0, 0.5056441418464882)	(7.0, 0.48124902973985934)	(8.0, 0.5499988911312679)	(9.0, 0.49899092945377127)	('>10', 17.10984453660376)	('>50', 16.78161939189639)	('>100', 49.19163469428489)	('>500', 7.158856534563439)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873191_1	(1.0, 1.2402006503491216)	(2.0, 0.4688563434246679)	(3.0, 0.35542335711224826)	(4.0, 0.27223916714980717)	(5.0, 0.30248796349978574)	(6.0, 0.13611958357490359)	(7.0, 0.1588061808373875)	(8.0, 0.0806634569332762)	(9.0, 0.2041793753623554)	('>10', 2.8837185853646243)	('>50', 1.6460386680446675)	('>100', 11.285321771571173)	('>500', 12.336467444732929)	('>1k', 39.91076605076756)	('>5k', 0.0)	('>10k+', 28.718711401275492)
SRR12873191_2	(1.0, 4.731415895742482)	(2.0, 1.0889566685992287)	(3.0, 0.8167175014494216)	(4.0, 0.5646441985329334)	(5.0, 0.39071361952055655)	(6.0, 0.3781099543747322)	(7.0, 0.26467696806231256)	(8.0, 0.38315142043306194)	(9.0, 0.4310453479871946)	('>10', 10.145950442388646)	('>50', 16.425096418038365)	('>100', 64.37952156487107)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873192_1	(1.0, 1.4133773682061117)	(2.0, 0.5220263143876844)	(3.0, 0.3675491397219411)	(4.0, 0.31250554874909)	(5.0, 0.17755997088016476)	(6.0, 0.19176476855057795)	(7.0, 0.23615476127061916)	(8.0, 0.21307196505619772)	(9.0, 0.07990198689607414)	('>10', 3.4269074379871802)	('>50', 1.1559154104298726)	('>100', 7.988423089898614)	('>500', 13.574459773788597)	('>1k', 61.300804346668095)	('>5k', 9.039578117509189)	('>10k+', 0.0)
SRR12873192_2	(1.0, 3.8583781672259807)	(2.0, 0.9126582503240469)	(3.0, 0.49006551962925476)	(4.0, 0.433246328947602)	(5.0, 0.3107299490402884)	(6.0, 0.2556863580674373)	(7.0, 0.45988032457962674)	(8.0, 0.3267103464195032)	(9.0, 0.23970596068822245)	('>10', 13.95621371118095)	('>50', 8.403913421758197)	('>100', 58.87355954473623)	('>500', 11.479252117402652)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873193_1	(1.0, 1.2112432345425646)	(2.0, 0.5070320516689806)	(3.0, 0.3199130802197139)	(4.0, 0.2816844731494336)	(5.0, 0.24144383412808595)	(6.0, 0.27766040924729884)	(7.0, 0.18309490754713187)	(8.0, 0.1287700448683125)	(9.0, 0.12675801291724514)	('>10', 2.247439689342267)	('>50', 2.7464236132069777)	('>100', 9.87907687974085)	('>500', 8.577292207400253)	('>1k', 40.53841975010563)	('>5k', 32.73374781191525)	('>10k+', 0.0)
SRR12873193_2	(1.0, 4.358061206011951)	(2.0, 1.1307619564998692)	(3.0, 0.7364036940906622)	(4.0, 0.5875133297116758)	(5.0, 0.4828876682561719)	(6.0, 0.39838232631134185)	(7.0, 0.2957686968069053)	(8.0, 0.27363634534516407)	(9.0, 0.2535160258344903)	('>10', 16.15259250316895)	('>50', 4.911369992555482)	('>100', 46.7274300315889)	('>500', 23.691676223818433)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873194_1	(1.0, 1.1166306695464363)	(2.0, 0.4622030237580993)	(3.0, 0.27213822894168466)	(4.0, 0.2505399568034557)	(5.0, 0.17278617710583152)	(6.0, 0.11663066954643629)	(7.0, 0.0755939524838013)	(8.0, 0.08639308855291576)	(9.0, 0.07775377969762419)	('>10', 2.8077753779697625)	('>50', 1.7667386609071274)	('>100', 11.151187904967601)	('>500', 10.855291576673865)	('>1k', 44.827213822894166)	('>5k', 0.0)	('>10k+', 25.961123110151185)
SRR12873194_2	(1.0, 3.965442764578834)	(2.0, 1.2483801295896328)	(3.0, 1.043196544276458)	(4.0, 0.8034557235421167)	(5.0, 0.8099352051835854)	(6.0, 0.6997840172786177)	(7.0, 0.816414686825054)	(8.0, 0.5183585313174947)	(9.0, 0.38876889848812096)	('>10', 13.250539956803456)	('>50', 10.03023758099352)	('>100', 35.241900647948164)	('>500', 31.183585313174945)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873195_1	(1.0, 1.4215297136633005)	(2.0, 0.5169198958775638)	(3.0, 0.3212287924382004)	(4.0, 0.26584451787989)	(5.0, 0.1753835361013163)	(6.0, 0.27692137279155205)	(7.0, 0.20676795835102554)	(8.0, 0.20676795835102554)	(9.0, 0.11630697657245186)	('>10', 3.6664389757601494)	('>50', 3.443055735041631)	('>100', 14.645448335702548)	('>500', 9.123636162239002)	('>1k', 35.154245204644894)	('>5k', 30.459504864585448)	('>10k+', 0.0)
SRR12873195_2	(1.0, 4.929200435689626)	(2.0, 1.3329148743700039)	(3.0, 0.9193789576679527)	(4.0, 0.9083021027562908)	(5.0, 0.7107648568316502)	(6.0, 0.808610408551332)	(7.0, 0.7366108516255285)	(8.0, 0.7827644137574539)	(9.0, 0.7310724241696974)	('>10', 15.494673878929976)	('>50', 12.127309985784702)	('>100', 43.63542378200749)	('>500', 16.882973027858288)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873196_1	(1.0, 1.4204368982296303)	(2.0, 0.6087586706698416)	(3.0, 0.366497567035925)	(4.0, 0.2733202194844187)	(5.0, 0.13458950201884254)	(6.0, 0.2608965731442178)	(7.0, 0.2029195568899472)	(8.0, 0.2319080650170825)	(9.0, 0.18635469510301272)	('>10', 4.012837767884874)	('>50', 1.950512475411533)	('>100', 12.699037167408633)	('>500', 14.564654726162129)	('>1k', 45.54922869862305)	('>5k', 17.538047416916864)	('>10k+', 0.0)
SRR12873196_2	(1.0, 4.34620561134693)	(2.0, 1.1761051868723469)	(3.0, 0.6957241950512475)	(4.0, 0.8365255202401904)	(5.0, 0.507298892224868)	(6.0, 0.5466404389688374)	(7.0, 0.5362874003520033)	(8.0, 0.5466404389688374)	(9.0, 0.5776995548193394)	('>10', 12.788073299513409)	('>50', 14.769644890775444)	('>100', 44.186768816647685)	('>500', 18.486385754218862)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR12873197_1	(1.0, 1.1208859911579512)	(2.0, 0.5582101549591391)	(3.0, 0.36172018041352205)	(4.0, 0.2679408743803867)	(5.0, 0.31259768677711786)	(6.0, 0.08038226231411601)	(7.0, 0.10940919037199125)	(8.0, 0.08931362479346225)	(9.0, 0.12057339347117403)	('>10', 2.3400169695887105)	('>50', 2.842406109051936)	('>100', 11.115080605546376)	('>500', 8.250346090296075)	('>1k', 33.70249631581298)	('>5k', 38.72862055106506)	('>10k+', 0.0)
