Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR12873160_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0014774758802062558)	(41.0, 0.0)	(42.0, 0.007387379401031278)	(43.0, 0.01034233116144379)	(44.0, 0.01625223468226881)	(45.0, 0.005909903520825023)	(46.0, 0.03545942112495014)	(47.0, 0.30140507956207613)	(48.0, 0.6101975385251835)	(49.0, 1.3947372309147053)	(50.0, 1.9739077759555574)	(51.0, 4.732355244300637)	(52.0, 10.011376564277588)	(53.0, 14.526542854187904)	(54.0, 17.407620820590104)	(55.0, 21.69821077670907)	(56.0, 12.506833325945955)	(57.0, 6.769794483105063)	(58.0, 4.058626242926584)	(59.0, 2.199961585627115)	(60.0, 0.7609000783062216)	(61.0, 0.4299454811400204)	(62.0, 0.2748105137183635)	(63.0, 0.18911691266640074)	(64.0, 0.029549517604125112)	(65.0, 0.01772971056247507)	(66.0, 0.01625223468226881)	(67.0, 0.007387379401031278)	(68.0, 0.004432427640618767)	(69.0, 0.0014774758802062558)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR12873161_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.001203673611863407)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.004814694447453628)	(43.0, 0.0)	(44.0, 0.001203673611863407)	(45.0, 0.015647756954224292)	(46.0, 0.02046245140167792)	(47.0, 0.1384224653642918)	(48.0, 0.6572057920774202)	(49.0, 1.1362678895990563)	(50.0, 2.6264158210859545)	(51.0, 6.780293455626572)	(52.0, 11.737021389280084)	(53.0, 14.22260739777802)	(54.0, 14.138350244947581)	(55.0, 12.565148834242107)	(56.0, 11.676837708686913)	(57.0, 9.589667665715766)	(58.0, 5.49717738538018)	(59.0, 4.702752801550331)	(60.0, 2.8250219670434165)	(61.0, 0.8160907088433901)	(62.0, 0.3382322849336174)	(63.0, 0.25758615293876913)	(64.0, 0.19379145151000854)	(65.0, 0.04092490280335584)	(66.0, 0.013240409730497478)	(67.0, 0.002407347223726814)	(68.0, 0.001203673611863407)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR12873161_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.004839743977543588)	(44.0, 0.010889423949473074)	(45.0, 0.009679487955087177)	(46.0, 0.030248399859647425)	(47.0, 0.3024839985964743)	(48.0, 0.6279567810862805)	(49.0, 0.7925080763227624)	(50.0, 1.150649130660988)	(51.0, 3.269247056830694)	(52.0, 9.404832484361577)	(53.0, 15.016515626323368)	(54.0, 18.22405594744038)	(55.0, 19.63726118888311)	(56.0, 12.0195041682295)	(57.0, 7.569359580878171)	(58.0, 5.990393108204576)	(59.0, 3.200280705150697)	(60.0, 1.2655930501276482)	(61.0, 0.6715144768841729)	(62.0, 0.4960737576982178)	(63.0, 0.19116988711297173)	(64.0, 0.04718750378104998)	(65.0, 0.03387820784280512)	(66.0, 0.014519231932630763)	(67.0, 0.013309295938244866)	(68.0, 0.004839743977543588)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.001209935994385897)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR12873162_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.0)	(44.0, 0.0)	(45.0, 0.020232675771370764)	(46.0, 0.03877929522846063)	(47.0, 0.17366380037093238)	(48.0, 0.9425054796830213)	(49.0, 1.4634968807958186)	(50.0, 2.95059854999157)	(51.0, 8.548305513404147)	(52.0, 12.608329118192549)	(53.0, 14.38037430450177)	(54.0, 13.631765300961051)	(55.0, 11.455066599224415)	(56.0, 10.836283931883326)	(57.0, 8.519642556061372)	(58.0, 4.518630922272804)	(59.0, 4.768167256786376)	(60.0, 3.4092058674759738)	(61.0, 0.7840161861406171)	(62.0, 0.24447816557073004)	(63.0, 0.27651323554206714)	(64.0, 0.3085483055134041)	(65.0, 0.08430281571404484)	(66.0, 0.030349013657056147)	(67.0, 0.0033721126285617942)	(68.0, 0.0033721126285617942)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR12873162_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.001684806415742831)	(43.0, 0.008424032078714155)	(44.0, 0.005054419247228493)	(45.0, 0.006739225662971324)	(46.0, 0.04212016039357078)	(47.0, 0.3858206692051083)	(48.0, 0.6166391481618761)	(49.0, 1.0513192034235266)	(50.0, 1.4624119688647774)	(51.0, 3.2432523503049504)	(52.0, 10.383461940223068)	(53.0, 15.247498062472623)	(54.0, 16.659365838865114)	(55.0, 17.766283654008156)	(56.0, 12.757354180004718)	(57.0, 8.941267648347205)	(58.0, 6.065303096674192)	(59.0, 2.892812615830441)	(60.0, 1.2147454257505812)	(61.0, 0.6267479866563331)	(62.0, 0.338646089564309)	(63.0, 0.12804528759645517)	(64.0, 0.06065303096674192)	(65.0, 0.03875054756208512)	(66.0, 0.023587289820399635)	(67.0, 0.01516325774168548)	(68.0, 0.008424032078714155)	(69.0, 0.005054419247228493)	(70.0, 0.003369612831485662)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR12873163_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.001448351775679277)	(43.0, 0.0)	(44.0, 0.027518683737906266)	(45.0, 0.04634725682173686)	(46.0, 0.053589015700133254)	(47.0, 0.21725276635189156)	(48.0, 0.9790858003591912)	(49.0, 1.9523781936156652)	(50.0, 3.749782747233648)	(51.0, 8.03255894791727)	(52.0, 13.166965992700309)	(53.0, 15.411911245003187)	(54.0, 15.372805747059845)	(55.0, 12.22119228318174)	(56.0, 9.641677770696946)	(57.0, 7.7443369445570935)	(58.0, 4.242222350964602)	(59.0, 3.3370024911650544)	(60.0, 2.3188111928625226)	(61.0, 0.8154220497074329)	(62.0, 0.2636000231736284)	(63.0, 0.1839406755112682)	(64.0, 0.16945715775447542)	(65.0, 0.031863739064944094)	(66.0, 0.011586814205434216)	(67.0, 0.004345055327037831)	(68.0, 0.002896703551358554)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR12873163_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.001446361677201001)	(43.0, 0.008678170063206005)	(44.0, 0.01735634012641201)	(45.0, 0.014463616772010008)	(46.0, 0.06508627547404504)	(47.0, 0.4859775235395363)	(48.0, 0.7434299020813144)	(49.0, 1.1932483836908256)	(50.0, 2.0147818163409945)	(51.0, 4.937878765964217)	(52.0, 12.997006031328192)	(53.0, 18.15039268719536)	(54.0, 18.399166895673932)	(55.0, 15.0305905494728)	(56.0, 9.236465670605591)	(57.0, 6.997497794298442)	(58.0, 4.554592921505952)	(59.0, 2.4978666165261285)	(60.0, 1.1223766615079767)	(61.0, 0.7159490302144954)	(62.0, 0.5366001822415714)	(63.0, 0.18658065635892912)	(64.0, 0.04917629702483403)	(65.0, 0.01590997844921101)	(66.0, 0.01590997844921101)	(67.0, 0.008678170063206005)	(68.0, 0.002892723354402002)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR12873164_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.0)	(44.0, 0.005920926032831535)	(45.0, 0.004440694524623651)	(46.0, 0.017762778098494605)	(47.0, 0.1450626878043726)	(48.0, 0.28568468108412154)	(49.0, 1.2922421066654826)	(50.0, 4.579836286395192)	(51.0, 11.067690986870346)	(52.0, 19.237088680669657)	(53.0, 18.84482733099457)	(54.0, 15.860680610447474)	(55.0, 10.410468197226045)	(56.0, 6.551504655328093)	(57.0, 4.946933700430748)	(58.0, 2.735467827168169)	(59.0, 2.323963467886377)	(60.0, 1.0524446023358054)	(61.0, 0.24719866187071657)	(62.0, 0.10509643708275976)	(63.0, 0.16578592891928298)	(64.0, 0.08437319596784937)	(65.0, 0.01924300960670249)	(66.0, 0.01184185206566307)	(67.0, 0.004440694524623651)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR12873164_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.0)	(44.0, 0.0)	(45.0, 0.0029634019854793306)	(46.0, 0.017780411912875983)	(47.0, 0.07408504963698326)	(48.0, 0.12149948140465254)	(49.0, 0.2815231886205364)	(50.0, 0.6801007556675063)	(51.0, 4.187287005482294)	(52.0, 14.673284931100905)	(53.0, 20.445991998814637)	(54.0, 21.441695065935697)	(55.0, 16.313527930063714)	(56.0, 8.76426137205512)	(57.0, 6.138687212920433)	(58.0, 3.2523336790635646)	(59.0, 1.7587790783819823)	(60.0, 0.9275448214550304)	(61.0, 0.43265668987998224)	(62.0, 0.30967550748259004)	(63.0, 0.11409097644095423)	(64.0, 0.0296340198547933)	(65.0, 0.01481700992739665)	(66.0, 0.011853607941917322)	(67.0, 0.0029634019854793306)	(68.0, 0.0014817009927396653)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0014817009927396653)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR12873165_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.0)	(44.0, 0.0014711507341042163)	(45.0, 0.01176920587283373)	(46.0, 0.03677876835260541)	(47.0, 0.2427398711271957)	(48.0, 0.7855944920116514)	(49.0, 1.4667372819019036)	(50.0, 3.3880601406420103)	(51.0, 8.384088033659928)	(52.0, 16.679907023273604)	(53.0, 17.18451172507135)	(54.0, 13.924441698296409)	(55.0, 10.835025156677554)	(56.0, 8.957836819960573)	(57.0, 6.578986082914056)	(58.0, 4.220731456144996)	(59.0, 4.604701797746197)	(60.0, 2.150822373260364)	(61.0, 0.3177685585665107)	(62.0, 0.08532674257804455)	(63.0, 0.07355753670521081)	(64.0, 0.05001912495954335)	(65.0, 0.01618265807514638)	(66.0, 0.0029423014682084326)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR12873165_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.004413841807909605)	(44.0, 0.0)	(45.0, 0.013241525423728813)	(46.0, 0.1059322033898305)	(47.0, 0.4001883239171375)	(48.0, 0.8695268361581922)	(49.0, 1.204978813559322)	(50.0, 2.5070621468926557)	(51.0, 6.917961393596987)	(52.0, 13.737346986817325)	(53.0, 18.75441384180791)	(54.0, 18.004060734463277)	(55.0, 15.093867702448211)	(56.0, 11.65548493408663)	(57.0, 6.086687853107345)	(58.0, 2.936676082862524)	(59.0, 0.9533898305084746)	(60.0, 0.3339806967984934)	(61.0, 0.21922080979284367)	(62.0, 0.1280014124293785)	(63.0, 0.04855225988700565)	(64.0, 0.011770244821092278)	(65.0, 0.007356403013182674)	(66.0, 0.0029425612052730696)	(67.0, 0.0029425612052730696)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
